subject,seizure_idx,n_windows,gini,gini_null_median,signed_deviation,entropy_norm,top5_mass,top5_channels
chb03,1,14,0.3897353336630873,0.3676536719000003,0.022081661763087013,0.9115236929649128,0.5294273101842121,P7-O1|F3-C3|FZ-CZ|T7-P7|P4-O2
chb03,2,17,0.3378829788354336,0.3659956650187626,-0.02811268618332896,0.9266012643640288,0.4710644303271562,FZ-CZ|CZ-PZ|P7-O1|C4-P4|F3-C3
chb03,3,18,0.303777505939975,0.3600822198968099,-0.056304713956834895,0.9440052488091583,0.48280780267175794,P7-O1|F3-C3|FZ-CZ|CZ-PZ|C3-P3
chb03,4,14,0.3595252156709563,0.36807606966503525,-0.008550853994078955,0.924993833883328,0.5250678400902401,T7-P7|P7-O1|CZ-PZ|P4-O2|C4-P4
chb03,5,13,0.3803165840807907,0.3709781819400344,0.009338402140756319,0.9107207397774575,0.5100520731834146,P4-O2|T7-P7|P7-O1|F4-C4|FZ-CZ
chb03,6,16,0.3625958517504646,0.3645686202737016,-0.001972768523237023,0.9170402747494735,0.48916868692005194,P4-O2|P7-O1|F4-C4|T7-P7|F8-T8
chb03,7,14,0.3830885665913899,0.36252054755906404,0.020568019032325857,0.913988022954844,0.527551243096705,T7-P7|F4-C4|P7-O1|FZ-CZ|C3-P3
chb06,1,4,0.42874084926568523,0.3922142686016009,0.03652658066408432,0.8939548275056803,0.5702438089598162,CZ-PZ|F8-T8|T8-P8|FP2-F8|FP1-F3
chb06,2,4,0.30537438620959234,0.3931544146411,-0.08778002843150767,0.9478345109149928,0.4746478156881538,P3-O1|P4-O2|P8-O2|FP1-F3|C4-P4
chb06,3,4,0.48278358393228427,0.39364196165998444,0.08914162227229983,0.8664452489060516,0.6297960480620424,F3-C3|P4-O2|F7-T7|T8-P8|FP2-F8
chb06,4,6,0.388848205962417,0.3875587937272461,0.0012894122351708726,0.9063974552715972,0.519930069532363,F8-T8|F7-T7|FZ-CZ|P4-O2|CZ-PZ
chb06,5,6,0.357001464373808,0.39004769062151334,-0.03304622624770537,0.9290282674184822,0.5141284412787782,F7-T7|C3-P3|FP2-F4|F3-C3|FP2-F8
chb06,6,4,0.36709098892733394,0.3885412601481004,-0.02145027122076648,0.921905676422278,0.5394249815097631,CZ-PZ|T8-P8|C3-P3|FP1-F3|FP2-F4
chb06,7,4,0.31636653492280487,0.38537717209313427,-0.0690106371703294,0.9403379230533081,0.4626289499745435,T8-P8|FP2-F4|F3-C3|F4-C4|P3-O1
chb06,8,4,0.5184883763061845,0.3912166492365582,0.1272717270696263,0.8423517518287068,0.6561764662274194,C3-P3|P4-O2|C4-P4|F7-T7|F8-T8
chb06,9,4,0.3502773025653858,0.39206039681988847,-0.04178309425450266,0.930551452420092,0.5444806043005848,FP2-F8|P7-O1|P4-O2|P8-O2|T8-P8
chb06,10,5,0.35843186771430546,0.38609885003631206,-0.027666982322006595,0.921423577374759,0.4977593489694218,P8-O2|T7-P7|P4-O2|F3-C3|C4-P4
chb13,1,12,0.4346125870900903,0.38920321769341715,0.04540936939667317,0.8869481121483215,0.5565947221733449,FP1-F7|FP2-F8|FZ-CZ|F7-T7|FP1-F3
chb13,2,18,0.4406316681071578,0.3853473254702233,0.05528434263693449,0.8888674272880843,0.5886145009090178,FP1-F7|FP2-F8|F7-T7|F3-C3|FP1-F3
chb13,3,9,0.5563692026505225,0.3867702444483073,0.16959895820221516,0.817146153980349,0.6982106820637024,FP1-F7|F7-T7|F3-C3|FP1-F3|FP2-F8
chb13,4,17,0.5004533699571314,0.3888658996328156,0.11158747032431582,0.8487595045181744,0.6316050250229471,FP1-F7|F7-T7|F3-C3|FZ-CZ|FP2-F8
